snapshot_date,expiration,underlying,option_type,spot,strike,bid,ask,rate,dividend_yield
2026-03-11,2026-03-16,SPY,call,675.77,673,8.06,8.12,0.0373,0.0150
2026-03-11,2026-03-16,SPY,call,675.77,674,7.43,7.48,0.0373,0.0150
2026-03-11,2026-03-16,SPY,call,675.77,675,6.80,6.85,0.0373,0.0150
2026-03-11,2026-03-16,SPY,call,675.77,676,6.20,6.25,0.0373,0.0150
2026-03-11,2026-03-16,SPY,call,675.77,677,5.62,5.66,0.0373,0.0150
2026-03-11,2026-03-27,SPY,call,675.77,673,13.06,13.13,0.0373,0.0150
2026-03-11,2026-03-27,SPY,call,675.77,674,12.41,12.48,0.0373,0.0150
2026-03-11,2026-03-27,SPY,call,675.77,675,11.77,11.84,0.0373,0.0150
2026-03-11,2026-03-27,SPY,call,675.77,676,11.14,11.21,0.0373,0.0150
2026-03-11,2026-03-27,SPY,call,675.77,677,10.53,10.59,0.0373,0.0150
2026-03-11,2026-04-17,SPY,call,675.77,673,18.54,18.96,0.0373,0.0150
2026-03-11,2026-04-17,SPY,call,675.77,674,18.09,18.16,0.0373,0.0150
2026-03-11,2026-04-17,SPY,call,675.77,675,17.44,17.51,0.0373,0.0150
2026-03-11,2026-04-17,SPY,call,675.77,676,16.78,16.85,0.0373,0.0150
2026-03-11,2026-04-17,SPY,call,675.77,677,16.16,16.23,0.0373,0.0150
2026-03-11,2026-04-30,SPY,call,675.77,673,21.51,21.92,0.0373,0.0150
2026-03-11,2026-04-30,SPY,call,675.77,674,21.06,21.13,0.0373,0.0150
2026-03-11,2026-04-30,SPY,call,675.77,675,20.42,20.49,0.0373,0.0150
2026-03-11,2026-04-30,SPY,call,675.77,676,19.77,19.84,0.0373,0.0150
2026-03-11,2026-04-30,SPY,call,675.77,677,19.13,19.20,0.0373,0.0150
2026-03-11,2026-05-15,SPY,call,675.77,673,24.78,25.25,0.0373,0.0150
2026-03-11,2026-05-15,SPY,call,675.77,674,24.31,24.59,0.0373,0.0150
2026-03-11,2026-05-15,SPY,call,675.77,675,23.74,23.82,0.0373,0.0150
2026-03-11,2026-05-15,SPY,call,675.77,676,23.09,23.17,0.0373,0.0150
2026-03-11,2026-05-15,SPY,call,675.77,677,22.45,22.52,0.0373,0.0150
